"team","date","time","name","pos","status","injury","note","year","cdate","conf","bcs"
"South Carolina Gamecocks","08/30/10","7:43am","Dion LeCorn","WR","Probable","Shoulder","LeCorn returned to practice on 8/29 after missing time last week after spraining his shoulder. The senior has been upgraded to probable for Southern Mississippi (9/2). He has 448 yards receiving in his three-year career, thus far.",2010,"2010-08-30","SEC","y"
"South Carolina Gamecocks","08/19/10","2:47pm","Jay Spearman","DB","Out For Year","Shoulder","Spearman has been plagued by shoulder injuries and has opted for medical hardship. The sophomore was expected to backup sophomore starter Stephon Gilmore this year.",2010,"2010-08-19","SEC","y"
"South Carolina Gamecocks","08/10/10","4:40pm","Cody Gibson","OL","Out","Knee","Gibson will miss a few weeks of action after spraining a knee yesterday. The true freshman was not likely to crack the playing rotation in 2010 but with all the other OL issues, the Gamecocks' depth is waning.",2010,"2010-08-10","SEC","y"
"South Carolina Gamecocks","08/10/10","4:37pm","Ryan Broadhead","OL","Out For Year","Knee","Broadhead is likely out for the season after tearing a knee ligament at yesterday's practice. The junior was expected to contend for playing time this year. Freshman Ronald Patrick will work with the second-team offense.",2010,"2010-08-10","SEC","y"
"South Carolina Gamecocks","08/03/10","1:38pm","Quintin Richardson","OL","Out","Shoulder","Richardson had surgery to repair a tendon in his left shoulder in mid-July and will be out indefinitely. The junior started five games in 2009. USC has a couple of experienced seniors on the offensive line heading into 2010, but the overall depth is in question with the departure of Nick Allison combined with Richardson's injury.",2010,"2010-08-03","SEC","y"
"South Carolina Gamecocks","09/11/10","7:25am","Terrence Campbell","OL","Questionable","Ankle","Senior LG Terrence Campbell has been slowed by an ankle injury this week, but he is expected to play not start) today.  Campbell is also one of nine South Carolina players who face possible suspension as part of an NCAA investigation for living in the Whitney Hotel at reduced rates.  He missed the Southern Mississippi game, but he is upgraded to probable for Georgia (9/11).  Campbell made two starts last season at LG before succumbing to injury.",2010,"2010-09-11","SEC","y"
"South Carolina Gamecocks","09/16/10","12:17pm","Hutch Eckerson","OL","Doubtful","Ankle","Senior RT Hutch Eckerson is unlikely to dress against Furman (9/18) due to a severely sprained ankle.  Eckerson made eight starts at RT in 2009.",2010,"2010-09-16","SEC","y"
"South Carolina Gamecocks","09/16/10","12:03pm","Kenny Davis","DL","Probable","Wrist","Sophomore DT Kenny Davis is probable for Furman despite a wrist injury.  Davis provides depth at the DT position for the Gamecocks. ",2010,"2010-09-16","SEC","y"
"South Carolina Gamecocks","09/22/10","10:15am","Rokevious Watkins","OL","Probable","Shoulder","Junior RG Rokevious Watkins left the Furman game with a sprained right shoulder, but he is upgraded to probable for Auburn (9/25).  Watkins, a former JUCO transfer, took a redshirt last year.",2010,"2010-09-22","SEC","y"
"South Carolina Gamecocks","10/08/10","1:43pm","DeVonte Holloman","DB","Probable","Concussion/Head","Sophomore SS DeVonte Holloman sustained a concussion during the Auburn game, but he is upgraded to probable for Alabama (10/9).  Holloman leads the Gamecocks defense in tackles this season with 26.",2010,"2010-10-08","SEC","y"
"South Carolina Gamecocks","10/22/10","10:20am","Marcus Lattimore","RB","Probable","Ankle","True freshman RB Marcus Lattimore could play against Vanderbilt after suffering an ankle injury during the second half of the Kentucky game, but he is unlikely to start.  Lattimore has been a standout for the Gamecocks, with over 750 yards in total offense and 12 touchdowns through six games.  Sophomore RB Kenny Miles (last season's leading rusher) is likely going to replace Lattimore in the starting line-up.",2010,"2010-10-22","SEC","y"
"South Carolina Gamecocks","10/22/10","10:19am","Alshon Jeffery","WR","Probable","Abdomen","Sophomore WR Alshon Jeffery is probable for the Vanderbilt game despite being slowed by an abdominal injury.  Jeffery entered the Kentucky game with a 125 ypg receiving average.",2010,"2010-10-22","SEC","y"
"South Carolina Gamecocks","10/30/10","7:29am","Chaz Sutton","DL","Doubtful","Hand","Redshirt freshman DE Chaz Sutton had surgery on his broken right hand last week and missed the Vanderbilt game.  He is downgraded to doubtful for Tennessee (10/30).  Sutton is the third-string DE behind Cliff Matthews and Melvin Ingram.",2010,"2010-10-30","SEC","y"
"South Carolina Gamecocks","10/25/10","12:10pm","Melvin Ingram","DL","Probable","Hand","Junior DE Melvin Ingram broke his hand against Vanderbilt, but he returned to the game wearing a cast.  He is probable for Tennessee (10/30).  Ingram is the first back-up to senior Cliff Matthews.",2010,"2010-10-25","SEC","y"
"South Carolina Gamecocks","11/01/10","12:56pm","Alshon Jeffery","WR","Probable","Knee","Sophomore WR Alshon Jeffery tweaked his knee against Tennessee, but he is probable for Arkansas (11/6).  Jeffery is one of the top receivers in the nation with 935 receiving yards and 7 TDs.",2010,"2010-11-01","SEC","y"
"South Carolina Gamecocks","11/01/10","12:54pm","Chris Culliver","DB","Out For Year","Chest","Senior CB Chris Culliver is likely out for the season after tearing his pectoral muscle against Tennessee.  Culliver made the difficult transition to CB after starring at FS last season.",2010,"2010-11-01","SEC","y"
"South Carolina Gamecocks","11/12/10","4:30pm","TJ Johnson","OL","Probable","Knee","Sophomore C T.J. Johnson sprained his left knee during the Arkansas game and did not return (could have, but the Gamecocks were too far down to risk further injury).  His status for the Florida game (11/13) is upgraded to probable, as the starting center has said he will play this week.",2010,"2010-11-12","SEC","y"
"South Carolina Gamecocks","11/12/10","4:28pm","CC Whitlock","DB","Questionable","Concussion/Head","Junior CB CC Whitlock suffered a concussion during the Arkansas game and is ""probably questionable"" according to head coach Steve Spurrier.  This means that Whitlock will not start (walk-on Marty Markett will get the nod) but could play in certain situations.  Whitlock took over as a starter when senior Chris Culliver was lost for the season.",2010,"2010-11-12","SEC","y"
"South Carolina Gamecocks","11/12/10","4:26pm","Jarriel King","OL","Out","Concussion/Head","Senior T Jarriel King suffered a concussion during the Arkansas game and didn't make the trip to Florida.  He is ruled out for Florida (11/13).  King is a starting tackle for the Gamecocks.",2010,"2010-11-12","SEC","y"
"South Carolina Gamecocks","11/08/10","11:02am","Connor Shaw","QB","Questionable","Ribs","True freshman QB Connor Shaw sustained a rib injury late in the Arkansas game and is questionable for Florida (11/13).  Shaw is the back-up to junior starter Stephen Garcia.",2010,"2010-11-08","SEC","y"
"South Carolina Gamecocks","11/26/10","10:36am","Marty Markett","DB","Probable","Knee","Junior CB Marty Markett suffered a sprained knee during the Troy game, but he is upgraded to probable for Clemson (11/27).  The track athlete/walk-on earned a starting spot in practice in relief of then injured starter C.C. Whitlock.",2010,"2010-11-26","SEC","y"
"South Carolina Gamecocks","11/25/10","9:53am","Charles Turner","LS","Questionable","Shoulder","Senior DS Charles Turner missed the Troy game with a shoulder injury and is questionable for Clemson (11/27).  Turner has been the Gamecocks' deep snapper for four years.  He was replaced last week by Walker Inabinet.",2010,"2010-11-25","SEC","y"
"South Carolina Gamecocks","11/22/10","11:41am","Stephon Gilmore","DB","Probable","Concussion/Head","Sophomore CB Stephon Gilmore sustained a concussion during the first half of the Troy game and did not return.  He is expected to play against Clemson (11/27).  Gilmore is a two-year starter at CB for the Gamecocks.",2010,"2010-11-22","SEC","y"
"South Carolina Gamecocks","11/29/10","9:23am","Stephen Garcia","QB","Probable","Hand","Junior QB Stephen Garcia injured his right (throwing) thumb and left shoulder against Clemson and is expected to be brought along slowly the first two days of practice this week.  He is probable for the SEC Championship game against Auburn (12/4).  Garcia has a 65.4% completion percentage this season, which is a factor in the Gamecocks' resurgence this season.",2010,"2010-11-29","SEC","y"
"Southern Mississippi Golden Eagles","09/02/10","4:20am","DeAndre Brown","WR","Probable","Hamstring","Brown has personally admitted that his oft-injured hamstring is not at 100 percent, however he's probable and expects to play on opening night.  When at full capacity, Brown is one the top receivers in Conference USA, finishing with nearly 800 yards and nine TDs last year despite a leg injury.",2010,"2010-09-02","CUSA","n"
"Southern Mississippi Golden Eagles","09/01/10","4:09am","CJ Bailey","DB","Probable","Ankle","Senior CB Bailey is expected to play in the season opener against South Carolina, however he may not be 100% as he continues to recover from a torn ligament in his ankle suffered prior to last years' New Orleans Bowl.  When fully healthy, Bailey is the Golden Eagles' best CB.",2010,"2010-09-01","CUSA","n"
"Southern Mississippi Golden Eagles","09/09/10","6:00pm","Quentin Pierce","WR","Doubtful","Ankle","Pierce is banged up with an ankle injury suffered late in week one and unlikely to play in week two against Prairie View.  Though not a starter, Pierce sees plenty of playing time and provides valuable depth at WR.",2010,"2010-09-09","CUSA","n"
"Southern Mississippi Golden Eagles","09/07/10","5:15pm","Johdrick Morris","WR","Questionable","Knee","Morris is questionable to play in week two against Prairie View due to a knee injury suffered in week one.  When healthy, Morris typically starts alongside All-American candidate DeAndre Brown at WR.  Without him, Brown might end up seeing more double teams.",2010,"2010-09-07","CUSA","n"
"Southern Mississippi Golden Eagles","09/07/10","5:13pm","Tracey Lampley","RB","Questionable","Knee","Lampley is questionable to play in week two against Prairie View due to a minor knee injury suffered in week one.  The tailback provides depth on offense, but is valuable on special teams as the primary kick returner.",2010,"2010-09-07","CUSA","n"
"Southern Mississippi Golden Eagles","09/14/10","4:14am","VJ Floyd","RB","Probable","Groin","Floyd suffered a groin injury in week two against Prairie View that is expected to linger throughout the season, but should not cause him to miss any time.  He has started both games this year, but isn't considered Southern Miss' feature back, as Kendrick Hardy and Jeremy Hester have also been in the mix.",2010,"2010-09-14","CUSA","n"
"Southern Mississippi Golden Eagles","09/23/10","4:20am","DeAndre Brown","WR","Probable","Leg","Brown has been limited in practice leading up to week four against Louisiana Tech because of a leg strain.  Consider him probable to play but unlikely to be at 100 percent, but that's nothing new for the seemingly always banged up star wideout.  Brown is one of the best receivers in C-USA when fully healthy, and still one of the best even when playing through pain.",2010,"2010-09-23","CUSA","n"
"Southern Mississippi Golden Eagles","10/01/10","6:19pm","Joe Duhon","OL","Doubtful","Knee","Starting guard Duhon suffered a knee injury in week four and is doubtful to return in week five against Marshall.  The redshirt sophomore was replaced by Austin Quattrochi, who would presumably start if needed.",2010,"2010-10-01","CUSA","n"
"Southern Mississippi Golden Eagles","09/28/10","11:59am","Jason Weaver","OL","Out For Year","Knee","Weaver has not played since week two because of a knee injury that will require surgery and keep him out for the rest of the year.  At 6-foot-6 and over 300 pounds, Weaver has an NFL-caliber body and is considered the anchor of the Southern Miss offensive line.",2010,"2010-09-28","CUSA","n"
"Southern Mississippi Golden Eagles","10/13/10","3:42pm","Johdrick Morris","WR","Questionable","Concussion/Head","Morris took a blow to the head in week six and is a question mark to be able to play in week seven against Memphis.  A starter at TE, Morris also lines up as a WR in some formations and joins DeAndre Brown and Quentin Pierce as pass-catching threats that are questionable to play.  The Golden Eagles offense has been decimated by injuries this season.",2010,"2010-10-13","CUSA","n"
"Southern Mississippi Golden Eagles","10/13/10","3:42pm","Quentin Pierce","WR","Probable","Concussion/Head","Pierce, who has recently recovered from a mild ankle injury, is now slowed by a concussion but still probable to play in week seven against Memphis.  Pierce is the latest key offensive player nicked up for Southern Miss, and with star WR DeAndre Brown already doubtful to play, the Golden Eagles offense could be very, very thin without Pierce.",2010,"2010-10-13","CUSA","n"
"Southern Mississippi Golden Eagles","10/12/10","6:24pm","Martez Smith","LB","Out For Year","Knee","Smith tore his ACL in week six and is out for the remainder of the season.  The starting LB suffered the malady on special teams.  At the time of his injury, Smith ranked fourth on the team in total tackles.",2010,"2010-10-12","CUSA","n"
"Southern Mississippi Golden Eagles","10/28/10","4:11am","CJ Bailey","DB","Doubtful","Hamstring","Bailey tweaked his hamstring prior to Southern Miss' week eight bye and is being limited in practice before week nine against UAB.  His injury hasn't progressed as planned and he's been downgraded to doubtful to play and start at cornerback against the Blazers.",2010,"2010-10-28","CUSA","n"
"Southern Mississippi Golden Eagles","11/05/10","2:51pm","Thomas Edenfield","OL","Probable","Ankle","Edenfield suffered an ankle injury last weekend but is expected to be back in the starting lineup Saturday at Tulane.",2010,"2010-11-05","CUSA","n"
"Southern Mississippi Golden Eagles","11/03/10","4:35am","Kendrick Hardy","RB","Probable","Leg","Hardy, who has emerged as Southern Miss' top back and big play threat this season, suffered a minor quad injury in week nine but is not expected to miss any time.  Consider him probable for week ten against Tulane.",2010,"2010-11-03","CUSA","n"
"Southern Mississippi Golden Eagles","11/13/10","9:28am","Desmond Johnson","RB","Questionable","Knee","Johnson is questionable to play against UCF (11/13) because of a knee injury.  The sophomore did not receive many reps in practice this week, and head coach Larry Fedora doesn't seem as though he wanted to risk further injury.",2010,"2010-11-13","CUSA","n"
"Southern Mississippi Golden Eagles","11/15/10","12:03pm","Deddrick Jones","DL","Out","Lung","Senior DT Deddrick Jones is out indefinitely after being shot and suffering a lung wound.  He is in fair condition along with two other teammates who were also shot.  Jones was a starting DT for the Golden Eagles.",2010,"2010-11-15","CUSA","n"
"South Florida Bulls","09/03/10","11:07am","Moise Plancher","RB","Doubtful","Shoulder","6th Year Senior Plancher is doubtful to play in USF's season opener against FCS opponent Stony Brook due to a shoulder injury.  Reports out of the Sunshine State indicate that if South Florida was playing a tougher opponent, Plancher might be able to go, but since Stony Brook is the opposition, the Bulls don't want to risk further injury, especially considering his history.  Demetris Murray is listed as Plancher's top backup and is expected to start.",2010,"2010-09-03","BE","y"
"South Florida Bulls","08/24/10","12:37pm","Jon Lejiste","DB","Probable","Hand","Lejiste is wearing a cast on his hand but is likely to play in the season opener. The sophomore is a projected starter. He had 29 tackles in 2009.",2010,"2010-08-24","BE","y"
"South Florida Bulls","08/22/10","11:03pm","Mark Popek","OL","Out","Knee","Popek suffered a knee injury during practice and is out indefinitely. The sophomore played in 12 games a year ago, making five starts, and was competing for a starting job early in camp.",2010,"2010-08-22","BE","y"
"South Florida Bulls","08/18/10","11:56am","Sterling Griffin","WR","Out","Ankle","Griffin suffered a dislocated ankle and broken bone at the bottom of his fibula in June. The sophomore, a projected starter, is expected to play at some point this season but is currently out indefinitely. The Bulls are moving players from other positions to fill in at receiver.",2010,"2010-08-18","BE","y"
"South Florida Bulls","08/18/10","11:52am","AJ Love","WR","Out","Knee","Love tore an ACL in the spring and is out indefinitely. The senior ranked second on the team last year in receiving (26 rec, 489 yards) and hopes to return mid-season.",2010,"2010-08-18","BE","y"
"South Florida Bulls","08/08/10","5:47pm","Colby Erskin","WR","Out For Year","Knee","Erskin tore the ACL in his left knee at practice yesterday, effectively ending the sixth-year senior's collegiate career. He finishes his USF career with seven receptions and 86 yards.",2010,"2010-08-08","BE","y"
"South Florida Bulls","09/11/10","8:26am","John McGhin","OL","Doubtful","Hip","McGhin is not likely to be available in week two against Florida because of a hip injury.  The promising RS Freshman was listed as the backup to LG Darren Powe on this week's two-deep and his absence greatly impacts the Bulls' depth on the line.",2010,"2010-09-11","BE","y"
"South Florida Bulls","09/25/10","5:04am","Dontavia Bogan","WR","Doubtful","Ankle","Bogan is dealing with an ankle injury suffered before a week three bye and is doubtful to be ready to play in week four against Western Kentucky.  The senior WR is considered a top offensive target when healthy.",2010,"2010-09-25","BE","y"
"South Florida Bulls","10/08/10","4:45am","Jerrell Young","DB","Doubtful","Ankle","Young had an up-and-down week in week five, recording his first career interception, but also left with an ankle injury and did not return.  Consider him doubtful to go in week six against Syracuse, and even if he can play, to likely be limited.  If needed, senior Mistral Raymond would slide from cornerback to safety , where he's had some experience, and sophomore Kayvon Webster would enter the lineup at CB.",2010,"2010-10-08","BE","y"
"South Florida Bulls","10/07/10","4:16am","Jamar Bass","OL","Questionable","Ankle","Senior OL Bass suffered an ankle injury in practice prior to week six against Syracuse and is questionable to be ready to play.  Mark Popek, an experienced reserve, would get the start at left tackle if Bass cannot go.",2010,"2010-10-07","BE","y"
"South Florida Bulls","10/14/10","4:26am","Demetrius Murray","RB","Questionable","Ankle","Murray did not play in week six because of a bum ankle and is questionable to go in week seven against West Virginia after being limited all week in practice.  Murray leads USF in rushing this season but is not the featured back, splitting carries with Mo Plancher.  Plancher would become the lead runner if Murray is out.",2010,"2010-10-14","BE","y"
"South Florida Bulls","10/12/10","4:34am","Mistral Raymond","DB","Probable","Leg","Raymond suffered a quad injury in week six and but is probable to be ready for week seven against West Virginia, especially since it's a short week with the game scheduled for Thursday.  Raymond, a walk-on, had been starting recently with Jerrell Young sidelined.  His loss would mean the Bulls would have to go three deep in the secondary to compensate.",2010,"2010-10-12","BE","y"
"South Florida Bulls","10/21/10","4:35am","John McGhin","OL","Out For Year","Knee","After missing five weeks of the season following a hip injury in week one, McGhin returned to the field in week seven only to suffer a season-ending knee injury.  The promising RS Freshman was listed as the backup to LG Darren Powe and his absence greatly impacts the Bulls' depth 
on the line.",2010,"2010-10-21","BE","y"
"South Florida Bulls","10/25/10","3:07pm","Jon Lejiste","DB","Probable","Concussion/Head","Lejiste did not play in the second half in week eight after suffering a minor concussion, but it's not expected to hold him out of any further action.  Consider the senior safety probable to return in week ten after a week nine bye.  Lejiste is one of USFs best blitzers from the secondary and instrumental in pass rushing.",2010,"2010-10-25","BE","y"
"South Florida Bulls","11/02/10","4:24am","Craig Marshall","DL","Out","Foot","A broken bone in his foot will keep Marshall out indefinitely, perhaps for the rest of the regular season.  The starting DE is being replaced by junior Patrick Hampson, who will make his first career start in week ten against Rutgers.",2010,"2010-11-02","BE","y"
"South Florida Bulls","12/03/10","9:54pm","Patrick Hampton","DL","Out","Ankle","Hampton is expected to miss the regular season finale with an ankle injury. The junior reserve has 19 tackles on the season.",2010,"2010-12-03","BE","y"
"South Florida Bulls","11/29/10","4:35pm","BJ Daniels","QB","Doubtful","Leg","Daniels was injured in the week 13 game and has been downgraded to doubtful for the regular season finale vs. Connecticut. The sophomore will likely be replaced by walk-on true freshman Bobby Eveld.",2010,"2010-11-29","BE","y"
"Stanford Cardinal","09/08/10","1:53pm","Jeremy Stewart","RB","Questionable","Ankle","Stewart suffered what appeared to be an ankle injury in the season opener and is questionable to play vs. UCLA Saturday. He carried the ball five times and gained 21 yards before the injury. Sophomore Stepfan Taylor is likely to get the bulk of the carries if Stewart is unable to play.",2010,"2010-09-08","P12","y"
"Stanford Cardinal","09/08/10","1:47pm","Levine Toilolo","TE","Out For Year","Knee","Toilolo suffered a torn ACL early in the season opener and will miss the remainder of the 2010 season. The RS freshman won the starting job over veterans Coby Fleener and Konrad Reuland.",2010,"2010-09-08","P12","y"
"Stanford Cardinal","09/17/10","4:08pm","Chris Owusu","WR","Questionable","Knee","Owusu has yet to play this season due to an knee injury. The junior is day-to-day according to coach Harbaugh and is questionable for Wake Forest. Owusu ranked second on the team in receiving last year and is one of the nation's best kick returners.",2010,"2010-09-17","P12","y"
"Stanford Cardinal","09/15/10","8:09pm","Shayne Skov","LB","Probable","Knee","Skov has yet to play this season due to a knee injury but has been upgrade to probable for Wake Forest. The sophomore ranked third on the team in tackles last year.",2010,"2010-09-15","P12","y"
"Stanford Cardinal","09/13/10","3:07pm","Trent Murphy","DL","Questionable","Leg","Murphy injured a leg in week two and is questionable to play Wake Forest Saturday. The RS freshman has entered both games this season as a backup and has two tackles - one for a QB sack.",2010,"2010-09-13","P12","y"
"Stanford Cardinal","09/22/10","3:26pm","Ryan Whalen","WR","Out","Arm","Whalen left the week three game in the first quarter with an apparent arm injury and did not return. The senior is expected to be out a minimum of three weeks. Whalen led Stanford in receiving last year and ranks second so far this season.",2010,"2010-09-22","P12","y"
"Stanford Cardinal","10/07/10","3:29pm","Ryan Whalen","WR","Questionable","Elbow","Whalen left the week five game with an elbow injury and is questionable to play USC. The senior led the team in receiving last year but only ranks third through five games this season, so far.",2010,"2010-10-07","P12","y"
"Stanford Cardinal","10/04/10","2:26pm","Chris Owusu","WR","Questionable","Concussion/Head","Owusu was involved with a nasty helmet-to-helmet collision at Oregon and was not able to return to the game. His status for the USC game is unknown. The junior missed the first two games of the season with a knee injury and ranks fourth on the team in receiving.",2010,"2010-10-04","P12","y"
"Stanford Cardinal","10/30/10","10:20am","Delano Howell","DB","Probable","Wrist","Howell did not play in week eight due to an undisclosed injury but has been upgraded to probable for the Huskies. The junior is one of Stanford's best players. He was second on the team in tackles last year and ranks second this year as well heading into week nine.",2010,"2010-10-30","P12","y"
"Stanford Cardinal","10/30/10","10:19am","Chris Owusu","WR","Probable","Elbow","Owusu was dressed for the Wazzu game but did not participate in pre-game drills nor enter the contest. The junior has only played in four games this year and ranks fifth on the team in receiving, though he totes a team-high 15.2 yards per catch average. He is probable for Washington.",2010,"2010-10-30","P12","y"
"Syracuse Orangemen","09/03/10","8:39am","Kevyn Scott","DB","Out","Hamstring","Reserve CB Scott will be unable to play in Syracuse's season opener against Akron because of a hamstring injury that has limited him all camp.  He was listed as the top backup to starter Da'Mon Merkerson despite starting eight games last year.",2010,"2010-09-03","BE","y"
"Syracuse Orangemen","09/03/10","8:38am","Ryan Gillum","LB","Out","Upper Body","Gillum will not play in Syracuse's season opener on Sept. 4 against Akron due to an upper body injury.  The junior was playing behind true freshman Marquis Sprull this year, but was considered the top LB reserve.  He played in all but three games last year, making 14 tackles.",2010,"2010-09-03","BE","y"
"Syracuse Orangemen","08/24/10","5:18pm","Ri'Shard Anderson","DB","Out For Year","Shoulder","Anderson suffered a shoulder injury last week that requires surgery and will miss the 2010 season. The sophomore made six tackles last year as a true freshman.",2010,"2010-08-24","BE","y"
"Syracuse Orangemen","08/24/10","5:12pm","Jared Kimmel","DL","Out For Year","Knee","Kimmel has had three knee surgeries and will miss the 2010 season. The senior has started 14 games during his college career, recording 49 tackles. He was expected to play a significant role in the DL rotation this year.",2010,"2010-08-24","BE","y"
"Syracuse Orangemen","08/24/10","4:59pm","Carl Cutler","FB","Out For Year","Knee","Cutler tore an ACL in the spring and is expected to miss the 2010 season. The sophomore started two games a year ago at TE.",2010,"2010-08-24","BE","y"
"Syracuse Orangemen","08/24/10","4:56pm","Ollie Haney","DL","Out For Year","Chest","Haney suffered a torn muscle in his chest and will miss the 2010 season. The junior played in five games last year and was expected to add depth in the trenches this season.",2010,"2010-08-24","BE","y"
"Syracuse Orangemen","09/08/10","3:24pm","Ryan Lichtenstein","K","Out","Leg","Lichtenstein is out indefinitely with a leg injury, but had already lost his starting job to Ross ""Das Boot"" Krautman.",2010,"2010-09-08","BE","y"
"Syracuse Orangemen","09/17/10","4:26am","Aaron Weaver","WR","Out For Year","Knee","Weaver has a torn right ACL and his season is finished.  The Hofstra transfer was putting together a strong campaign for the Orange, having made six grabs, including one for a TD, in Syracuse's first two games.",2010,"2010-09-17","BE","y"
"Syracuse Orangemen","09/14/10","3:19pm","Prince-Tyson Gulley","WR","Probable","Knee","Gulley is expected to play in week three against Maine despite a scary moment in week two when he was helped off the field and had trouble bending his leg at the knee.  The freshman is expected to participate in nearly a full week of practice and should be back returning kicks this weekend.",2010,"2010-09-14","BE","y"
"Syracuse Orangemen","08/24/10","5:18pm","RiShard Anderson","DB","Out For Year","Shoulder","Anderson suffered a shoulder injury last week that requires surgery and will miss the 2010 season. The sophomore made six tackles last year as a true freshman.",2010,"2010-08-24","BE","y"
"Syracuse Orangemen","10/05/10","11:37am","Nick Raven","QB","Out For Year","Knee","Reserve walk-on QB Raven suffered a severe knee injury in week five and will not be able to play for the rest of the season.  He was at best third on the 'Cuse QB depth chart, but found a niche on kickoff coverage, which is where he was injured.  His loss only impacts special teams.",2010,"2010-10-05","BE","y"
"Syracuse Orangemen","10/25/10","3:08pm","Delone Carter","RB","Probable","Hip","Carter suffered what is initially considered to be a mild hip injury in week eight, forcing him out of the majority of the second half.  The star RB should be considered probable for week nine against Cincinnati pending any setbacks.  He's one of the best RBs in the Big East when healthy.",2010,"2010-10-25","BE","y"
"Syracuse Orangemen","11/04/10","3:35pm","Michael Hay","OL","Questionable","Foot","Hay has not practiced this week and is wearing a boot on his left foot. If the junior is not ready to play by Saturday, expect either sophomore Ian Allport or freshman Andrew Phillips to replace him in the starting lineup.",2010,"2010-11-04","BE","y"
"Syracuse Orangemen","11/12/10","2:59pm","Ian Allport","OL","Out","Leg","Allport is expected to miss the Rutgers tilt with an unspecified lower body injury. He is a reserve lineman for the Orange.",2010,"2010-11-12","BE","y"
"TCU Horned Frogs","09/14/10","2:04pm","Tyler Luttrell","DB","Doubtful","Hamstring","Luttrell sat out week two with a hamstring injury and is questionable for Baylor. The senior recorded four tackles in the season opener, ranking third on the team. He was replaced by senior Colin Jones vs. Tenn Tech.",2010,"2010-09-14","B12","y"
"TCU Horned Frogs","09/29/10","3:26pm","Ed Wesley","RB","Probable","Concussion/Head","Wesley suffered a concussion at SMU last Friday but has been upgraded to probable for this weeks road game to Colorado State. The sophomore leads the Frogs in rushing this year while averaging over 100 yards per game.",2010,"2010-09-29","B12","y"
"TCU Horned Frogs","10/13/10","3:00pm","Blaize Foltz","OL","Out For Year","Knee","Foltz suffered a torn ACL in practice and will miss the remainder of the season. The sophomore is a reserve offensive lineman.",2010,"2010-10-13","B12","y"
"TCU Horned Frogs","10/28/10","4:14pm","Cory Grant","DL","Questionable","Ankle","Grant is nursing a sprained ankle and is questionable to play this weekend at UNLV. The senior will make the trip but it sounds like he will be a game-time decision Saturday. He has 11 tackles and two QB sacks so far this year.",2010,"2010-10-28","B12","y"
"TCU Horned Frogs","10/28/10","4:06pm","Kelly Griffin","DL","Out For Year","Ankle","Griffin suffered a broken ankle in the week eight victory over Air Force and will miss the remainder of the season. The senior will likely be replaced by Cory Grant, who slides over from his DT position, but he has a sore ankle of his own. Sophomore D.J. Yendrey, who is second on the team with three sacks as a reserve, will start at Grant's normal spot.",2010,"2010-10-28","B12","y"
"TCU Horned Frogs","11/13/10","9:18am","Evan Frosch","TE","Doubtful","Concussion/Head","Frosch has a concussion and is doubtful to play vs. SDSU today. The senior is a key blocker for the TCU offense.",2010,"2010-11-13","B12","y"
"TCU Horned Frogs","11/15/10","2:40pm","Ed Wesley","RB","Questionable","Foot","Wesley was limited in week 11 due to a foot injury and is questionable to return after the week 12 bye. Sophomore Matthew Tucker led the Horned Frogs with 131 yards rushing vs. SDSU.",2010,"2010-11-15","B12","y"
"Temple Owls","09/10/10","4:45pm","Bernard Pierce","RB","Questionable","Hand","Pierce left Thursday night's game early in the second half with an apparent hand injury and did not return. The extent of the injury is not known. The sophomore led the conference in rushing a year ago and is an early-season candidate for the 2010 Heisman Trophy.",2010,"2010-09-10","BE","y"
"Temple Owls","09/30/10","3:17pm","Bernard Pierce","RB","Questionable","Ankle","Pierce was carted off the field during the week four game and did not return. He will be a game-time decision and is questionable for Army this weekend. The sophomore led the conference in rushing last year. Sophomore Matt Brown took over for Pierce at Penn State and would likely start in week five if Pierce has not recovered.",2010,"2010-09-30","BE","y"
"Temple Owls","10/13/10","1:05pm","Steve Caputo","OL","Out For Year","Leg","Caputo has a lower leg injury and will miss the remainder of the season. The junior played in all six games this year, starting four. Coach Golden has not mentioned who would get more playing time in the wake of this news.",2010,"2010-10-13","BE","y"
"Temple Owls","11/19/10","5:30pm","Elijah Joseph","LB","Questionable","Leg","Joseph suffered a leg injury at Ohio on Tuesday and is questionable to play at Miami on the 23rd. The senior leads the team with 71 tackles this season.",2010,"2010-11-19","BE","y"
"Temple Owls","11/19/10","5:26pm","Bernard Pierce","RB","Questionable","Hamstring","Pierce injured a hamstring in Temple's last game and is questionable to return Tuesday when they travel to Miami (OH). The sophomore has carried the ball more than any other Owl this year but ranks second in rushing yards at this point. If he is unable to go, expect Matt Brown to add to his team-leading rushing total.",2010,"2010-11-19","BE","y"
"Tennessee Volunteers","08/11/10","4:43pm","Marlon Walls","DL","Out","Achilles","Walls, a projected starter on the defensive line, suffered an Achilles injury during practice and is expected to be out for an extended period of time. This injury is very troubling as Tennessee possesses very little experienced depth at the DT position.",2010,"2010-08-11","SEC","y"
"Tennessee Volunteers","08/11/10","4:41pm","Ben Martin","DL","Out","Achilles","Martin, a projected starter, went down with a torn Achilles in practice. The senior is expected to be out for an extended period of time. The Vols have several talented true freshmen who will contend for playing time with senior reserve Gerald Williams.",2010,"2010-08-11","SEC","y"
